Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,100200.0618735831
FDW14,OUT017,83355.2576399339
NCN55,OUT010,226630.43837236337
FDQ58,OUT017,147959.09492528392
FDY38,OUT027,215907.9860199688
FDH56,OUT046,108383.67142235031
FDL48,OUT018,48208.28677345551
FDC48,OUT027,69780.805290402
FDN33,OUT045,89571.61628850242
FDA36,OUT017,178347.5477359458
FDT44,OUT017,113001.05355992338
FDQ56,OUT045,79690.61609420681
NCC54,OUT019,220924.9417846928
FDU11,OUT049,113922.91144970368
DRL59,OUT013,42774.92680188595
FDM24,OUT049,141916.75343229235
FDI57,OUT045,187927.02595533966
DRC12,OUT018,183768.96285302105
NCM42,OUT027,97091.81088660353
FDA46,OUT010,180798.79786491138
FDA31,OUT013,160071.75983013448
NCJ31,OUT035,227963.333409538
FDG52,OUT046,42162.100035244875
NCL19,OUT019,127354.5653404722
FDS10,OUT035,171503.00611974395
FDX22,OUT010,195840.90002681906
NCF19,OUT035,44461.622449266426
NCE06,OUT046,150547.97770987244
DRC27,OUT046,230031.29615152808
FDE21,OUT035,110252.46404265701
NCR42,OUT019,22163.66041718319
FDX51,OUT018,186360.1961125857
NCR06,OUT018,40825.10582744641
FDU31,OUT027,200212.90153612258
FDU59,OUT017,156752.66665718914
FDR03,OUT027,188137.02035382934
FDS49,OUT027,69128.21378910844
FDD48,OUT010,104753.10000507844
NCF18,OUT017,183406.61291391545
NCD43,OUT027,91086.40426995717
NCD54,OUT018,137186.5447137816
FDY19,OUT010,107306.70190502638
NCY54,OUT017,165994.9933342651
NCL19,OUT018,138564.90860016167
FDP23,OUT010,203199.20090427893
FDC26,OUT013,100153.31825451175
FDR14,OUT010,49224.30354395902
NCS41,OUT035,173890.479547814
FDF41,OUT035,235794.28749760077
FDU34,OUT046,115794.9332455225
DRH11,OUT046,51019.95386328256
FDM03,OUT013,94913.78958304065
FDS31,OUT017,172805.71346098435
FDJ20,OUT017,116839.11729153074
FDV44,OUT027,172514.81081599288
FDG02,OUT049,177395.778192774
FDA09,OUT013,164546.71202760877
FDT04,OUT013,29760.13510550938
FDL58,OUT019,242726.36155379505
FDE52,OUT045,84235.59119785321
FDW12,OUT035,137234.0090334615
FDL51,OUT017,205205.29790570211
NCY42,OUT027,127293.11450221972
FDR07,OUT017,92472.54527752956
FDN40,OUT045,143899.9581651903
FDB35,OUT027,78701.01758775831
FDA22,OUT017,158259.06437929109
NCL06,OUT046,247104.0576108377
FDI35,OUT013,166073.74354378218
NCW42,OUT045,209716.6988098202
NCX06,OUT049,169097.57680794384
FDC37,OUT027,95668.33307350602
FDZ14,OUT018,117096.81015693175
DRG49,OUT049,231215.00974809626
NCG06,OUT045,242737.91805575477
DRC36,OUT045,163971.61784387106
FDV21,OUT019,110684.07672238167
FDB53,OUT046,138422.6045319217
DRP47,OUT019,232389.60111558475
FDA14,OUT013,131620.76612393488
DRC24,OUT035,144747.32858821956
FDW21,OUT018,96365.07548928635
NCH29,OUT046,89478.21346207982
FDU58,OUT013,173129.0707023476
FDY27,OUT017,169499.1254355017
FDV56,OUT035,103037.84933492585
FDT59,OUT046,216587.33811202476
FDB23,OUT046,211805.24601036817
FDR49,OUT045,42346.83115812256
FDB03,OUT010,227119.27101769097
FDN39,OUT045,156447.12087845773
FDX02,OUT027,205315.5505955688
FDQ16,OUT027,95288.75294102264
FDU35,OUT018,95246.32255359473
NCT29,OUT013,109648.75647403442
FDZ27,OUT046,42495.026139908565
FDN57,OUT017,134054.94496660854
FDA03,OUT018,139306.32287425088
FDZ36,OUT045,175415.96843074317
NCU05,OUT013,70549.14776499741
FDT39,OUT018,144552.03674898314
FDK60,OUT017,92836.76547770858
FDZ25,OUT017,161605.68251667064
